,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
73,1.56324E+12,2019/7/16,0.027,0.027,0.027,0.027,0,BCT_USDT
74,1.56332E+12,2019/7/17,0.027,0.027,0.027,0.027,0,BCT_USDT
75,1.56341E+12,2019/7/18,0.027,0.027,0.027,0.027,188227,BCT_USDT
76,1.56349E+12,2019/7/19,0.027,0.027,0.027,0.027,11019,BCT_USDT
77,1.56358E+12,2019/7/20,0.0271,0.0271,0.0265,0.0265,17253,BCT_USDT
78,1.56367E+12,2019/7/21,0.0265,0.0265,0.0265,0.0265,53750,BCT_USDT
79,1.56375E+12,2019/7/22,0.0265,0.0265,0.0265,0.0265,0,BCT_USDT
80,1.56384E+12,2019/7/23,0.027,0.027,0.027,0.027,16472,BCT_USDT
81,1.56393E+12,2019/7/24,0.027,0.027,0.027,0.027,0,BCT_USDT
82,1.56401E+12,2019/7/25,0.027,0.027,0.027,0.027,0,BCT_USDT
83,1.5641E+12,2019/7/26,0.027,0.027,0.027,0.027,0,BCT_USDT
84,1.56419E+12,2019/7/27,0.027,0.027,0.027,0.027,0,BCT_USDT
85,1.56427E+12,2019/7/28,0.027,0.027,0.027,0.027,0,BCT_USDT
86,1.56436E+12,2019/7/29,0.027,0.027,0.027,0.027,0,BCT_USDT
87,1.56444E+12,2019/7/30,0.027,0.027,0.027,0.027,0,BCT_USDT
88,1.56453E+12,2019/7/31,0.027,0.027,0.027,0.027,0,BCT_USDT
89,1.56462E+12,2019/8/1,0.027,0.027,0.027,0.027,75,BCT_USDT
90,1.5647E+12,2019/8/2,0.027,0.027,0.027,0.027,2985,BCT_USDT
91,1.56479E+12,2019/8/3,0.027,0.027,0.027,0.027,0,BCT_USDT
92,1.56488E+12,2019/8/4,0.027,0.027,0.027,0.027,0,BCT_USDT
93,1.56496E+12,2019/8/5,0.027,0.027,0.027,0.027,20000,BCT_USDT
94,1.56505E+12,2019/8/6,0.027,0.027,0.027,0.027,0,BCT_USDT
95,1.56514E+12,2019/8/7,0.0306,0.0354,0.027,0.031,248907,BCT_USDT
96,1.56522E+12,2019/8/8,0.0316,0.0316,0.0315,0.0315,20821,BCT_USDT
97,1.56531E+12,2019/8/9,0.0315,0.0315,0.0315,0.0315,0,BCT_USDT
98,1.5654E+12,2019/8/10,0.0315,0.0315,0.0315,0.0315,1000,BCT_USDT
99,1.56548E+12,2019/8/11,0.0315,0.035,0.0315,0.035,42947,BCT_USDT
100,1.56557E+12,2019/8/12,0.031,0.031,0.031,0.031,19385,BCT_USDT
101,1.56565E+12,2019/8/13,0.0322,0.0323,0.031,0.031,20125,BCT_USDT
102,1.56574E+12,2019/8/14,0.031,0.0325,0.03,0.0325,39755,BCT_USDT
103,1.56583E+12,2019/8/15,0.0325,0.0325,0.0325,0.0325,0,BCT_USDT
104,1.56591E+12,2019/8/16,0.0325,0.0325,0.028,0.028,52367,BCT_USDT
105,1.566E+12,2019/8/17,0.0312,0.0321,0.0281,0.0296,151783,BCT_USDT
106,1.56609E+12,2019/8/18,0.0296,0.0296,0.0296,0.0296,0,BCT_USDT
107,1.56617E+12,2019/8/19,0.0294,0.0294,0.0281,0.0281,31084,BCT_USDT
108,1.56626E+12,2019/8/20,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
109,1.56635E+12,2019/8/21,0.0315,0.0315,0.0281,0.0282,11005,BCT_USDT
110,1.56643E+12,2019/8/22,0.0281,0.0285,0.0281,0.0285,38264,BCT_USDT
111,1.56652E+12,2019/8/23,0.0283,0.0283,0.0281,0.0281,13770,BCT_USDT
112,1.5666E+12,2019/8/24,0.0281,0.0281,0.0281,0.0281,12058,BCT_USDT
113,1.56669E+12,2019/8/25,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
114,1.56678E+12,2019/8/26,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
115,1.56686E+12,2019/8/27,0.0281,0.0281,0.0281,0.0281,0,BCT_USDT
116,1.56695E+12,2019/8/28,0.0281,0.0281,0.028,0.028,23506,BCT_USDT
117,1.56704E+12,2019/8/29,0.028,0.028,0.025,0.025,660281,BCT_USDT
118,1.56712E+12,2019/8/30,0.023,0.023,0.023,0.023,49790,BCT_USDT
119,1.56721E+12,2019/8/31,0.023,0.023,0.023,0.023,0,BCT_USDT
