,open_time,,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
72,1.57628E+12,2019/12/14,6.70E-07,9.90E-07,3.30E-07,7.80E-07,6967231,1.57637E+12,5.62048675,8655,4318,,0,GCZBTC
73,1.57637E+12,2019/12/15,7.80E-07,9.90E-07,3.30E-07,7.90E-07,8123970,1.57645E+12,6.88770955,10016,5034,,0,GCZBTC
74,1.57645E+12,2019/12/16,7.70E-07,9.90E-07,3.60E-07,7.90E-07,7303416,1.57654E+12,6.13823022,9202,4585,,0,GCZBTC
75,1.57654E+12,2019/12/17,7.90E-07,9.90E-07,3.30E-07,9.90E-07,7528368,1.57663E+12,5.89120066,9343,4565,,0,GCZBTC
76,1.57663E+12,2019/12/18,9.80E-07,9.90E-07,3.70E-07,9.70E-07,6333256,1.57671E+12,5.1067681,7828,3892,,0,GCZBTC
77,1.57671E+12,2019/12/19,8.50E-07,9.90E-07,3.60E-07,7.60E-07,7535845,1.5768E+12,5.75575608,9544,4781,,0,GCZBTC
78,1.5768E+12,2019/12/20,7.40E-07,9.90E-07,4.10E-07,6.00E-07,8818997,1.57689E+12,7.08558166,10976,5489,,0,GCZBTC
79,1.57689E+12,2019/12/21,6.10E-07,9.90E-07,4.50E-07,9.40E-07,9658652,1.57697E+12,8.00299472,12151,6155,,0,GCZBTC
80,1.57697E+12,2019/12/22,9.40E-07,9.90E-07,4.80E-07,8.40E-07,9766266,1.57706E+12,8.58204085,12092,6028,,0,GCZBTC
81,1.57706E+12,2019/12/23,8.10E-07,9.90E-07,4.20E-07,7.90E-07,7500248,1.57715E+12,6.01207235,9524,4717,,0,GCZBTC
82,1.57715E+12,2019/12/24,8.00E-07,9.90E-07,3.40E-07,4.60E-07,6161419,1.57723E+12,4.57933406,7640,3807,,0,GCZBTC
83,1.57723E+12,2019/12/25,4.90E-07,9.90E-07,3.70E-07,9.80E-07,5954964,1.57732E+12,4.57843756,7489,3774,,0,GCZBTC
84,1.57732E+12,2019/12/26,9.80E-07,9.90E-07,3.90E-07,7.00E-07,6116866,1.5774E+12,5.15132708,7845,3937,,0,GCZBTC
85,1.5774E+12,2019/12/27,8.40E-07,9.90E-07,3.50E-07,6.90E-07,6050300,1.57749E+12,4.68991666,7471,3748,,0,GCZBTC
86,1.57749E+12,2019/12/28,6.60E-07,9.90E-07,3.70E-07,9.10E-07,5801215,1.57758E+12,4.64156771,7337,3651,,0,GCZBTC
87,1.57758E+12,2019/12/29,9.10E-07,9.90E-07,3.80E-07,9.30E-07,3238630,1.57766E+12,2.55841591,4215,2068,,0,GCZBTC
88,1.57766E+12,2019/12/30,9.80E-07,9.90E-07,3.40E-07,5.10E-07,6869452,1.57775E+12,5.06457471,8499,4202,,0,GCZBTC
89,1.57775E+12,2019/12/31,5.10E-07,9.90E-07,4.00E-07,8.70E-07,7434724,1.57784E+12,6.05281554,9231,4587,,0,GCZBTC
90,1.57784E+12,2020/1/1,8.70E-07,9.90E-07,3.50E-07,8.40E-07,7295478,1.57792E+12,5.94498493,9252,4740,,0,GCZBTC
91,1.57792E+12,2020/1/2,8.40E-07,9.90E-07,3.70E-07,4.80E-07,7417092,1.57801E+12,6.07370723,9134,4584,,0,GCZBTC
92,1.57801E+12,2020/1/3,4.80E-07,9.90E-07,3.50E-07,9.30E-07,8308444,1.5781E+12,6.84248953,10370,5160,,0,GCZBTC
93,1.5781E+12,2020/1/4,8.90E-07,9.90E-07,3.70E-07,9.50E-07,7600381,1.57818E+12,6.11158055,9292,4639,,0,GCZBTC
94,1.57818E+12,2020/1/5,9.90E-07,9.90E-07,3.60E-07,9.40E-07,7938464,1.57827E+12,6.00247944,9911,4938,,0,GCZBTC
95,1.57827E+12,2020/1/6,9.40E-07,9.90E-07,3.50E-07,5.80E-07,7179225,1.57836E+12,5.94521554,9049,4500,,0,GCZBTC
96,1.57836E+12,2020/1/7,5.80E-07,9.90E-07,3.80E-07,9.80E-07,7488354,1.57844E+12,6.26380803,9507,4717,,0,GCZBTC
97,1.57844E+12,2020/1/8,9.80E-07,9.90E-07,3.40E-07,4.00E-07,6999569,1.57853E+12,5.01139025,8667,4361,,0,GCZBTC
98,1.57853E+12,2020/1/9,4.20E-07,9.90E-07,3.40E-07,7.80E-07,5544320,1.57861E+12,3.58350795,7017,3526,,0,GCZBTC
99,1.57861E+12,2020/1/10,7.90E-07,9.90E-07,3.60E-07,6.30E-07,7814757,1.5787E+12,5.69608642,9598,4831,,0,GCZBTC
100,1.5787E+12,2020/1/11,6.40E-07,9.90E-07,3.70E-07,6.80E-07,7749010,1.57879E+12,5.27561489,9662,4848,,0,GCZBTC
101,1.57879E+12,2020/1/12,7.40E-07,9.90E-07,3.70E-07,5.00E-07,8004692,1.57887E+12,4.91915835,9990,4960,,0,GCZBTC
102,1.57887E+12,2020/1/13,5.00E-07,9.90E-07,3.70E-07,4.60E-07,7534633,1.57896E+12,5.13416693,9643,4846,,0,GCZBTC
103,1.57896E+12,2020/1/14,4.80E-07,9.90E-07,3.90E-07,6.00E-07,7818920,1.57905E+12,5.48088679,9728,4840,,0,GCZBTC
104,1.57905E+12,2020/1/15,6.00E-07,9.90E-07,4.70E-07,6.80E-07,6015222,1.57913E+12,4.55210509,7663,3874,,0,GCZBTC
105,1.57913E+12,2020/1/16,6.80E-07,9.90E-07,4.70E-07,6.70E-07,7641640,1.57922E+12,5.79288666,9361,4666,,0,GCZBTC
106,1.57922E+12,2020/1/17,6.70E-07,9.90E-07,4.70E-07,6.30E-07,6291154,1.57931E+12,4.26580558,7935,3933,,0,GCZBTC
107,1.57931E+12,2020/1/18,5.80E-07,9.90E-07,4.70E-07,7.50E-07,9297620,1.57939E+12,7.41517638,11603,5799,,0,GCZBTC
108,1.57939E+12,2020/1/19,7.80E-07,9.90E-07,4.70E-07,9.50E-07,10021959,1.57948E+12,7.28003752,12379,6281,,0,GCZBTC
109,1.57948E+12,2020/1/20,9.50E-07,9.90E-07,4.70E-07,6.80E-07,8890820,1.57956E+12,6.88032119,10798,5405,,0,GCZBTC
110,1.57956E+12,2020/1/21,6.80E-07,9.90E-07,4.90E-07,6.40E-07,8172168,1.57965E+12,6.07304884,10349,5170,,0,GCZBTC
111,1.57965E+12,2020/1/22,6.50E-07,9.90E-07,5.10E-07,6.20E-07,8184574,1.57974E+12,6.00747083,10131,4972,,0,GCZBTC
112,1.57974E+12,2020/1/23,6.00E-07,9.90E-07,5.70E-07,6.10E-07,4768397,1.57982E+12,3.69481018,6025,2941,,0,GCZBTC
113,1.57982E+12,2020/1/24,6.00E-07,9.90E-07,6.00E-07,9.10E-07,6566052,1.57991E+12,5.52995832,8188,4049,,0,GCZBTC
114,1.57991E+12,2020/1/25,9.10E-07,9.90E-07,6.10E-07,7.70E-07,8372834,1.58E+12,6.60420246,10661,5385,,0,GCZBTC
115,1.58E+12,2020/1/26,7.70E-07,9.90E-07,6.10E-07,9.40E-07,8589285,1.58008E+12,6.90926895,10487,5248,,0,GCZBTC
116,1.58008E+12,2020/1/27,9.50E-07,9.90E-07,6.30E-07,9.50E-07,8180558,1.58017E+12,6.89359485,10392,5264,,0,GCZBTC
117,1.58017E+12,2020/1/28,9.40E-07,9.90E-07,5.80E-07,8.80E-07,8196178,1.58026E+12,6.80110988,10406,5167,,0,GCZBTC
118,1.58026E+12,2020/1/29,8.60E-07,9.90E-07,5.80E-07,7.70E-07,8523443,1.58034E+12,7.02171811,10606,5313,,0,GCZBTC
119,1.58034E+12,2020/1/30,7.70E-07,9.90E-07,5.80E-07,6.40E-07,8620114,1.58043E+12,6.80098404,10831,5436,,0,GCZBTC
120,1.58043E+12,2020/1/31,6.60E-07,9.90E-07,5.80E-07,8.80E-07,8362969,1.58052E+12,6.4769867,10331,5187,,0,GCZBTC
121,1.58052E+12,2020/2/1,8.90E-07,9.90E-07,5.80E-07,7.70E-07,8350814,1.5806E+12,6.75633413,10481,5251,,0,GCZBTC
122,1.5806E+12,2020/2/2,7.60E-07,9.90E-07,5.80E-07,6.10E-07,8994489,1.58069E+12,7.2149624,11278,5693,,0,GCZBTC
123,1.58069E+12,2020/2/3,6.40E-07,9.90E-07,5.80E-07,8.20E-07,8708473,1.58077E+12,6.37485083,11089,5573,,0,GCZBTC
124,1.58077E+12,2020/2/4,8.10E-07,9.90E-07,5.80E-07,8.90E-07,9760466,1.58086E+12,7.83898796,12330,6130,,0,GCZBTC
125,1.58086E+12,2020/2/5,8.80E-07,9.90E-07,5.80E-07,9.50E-07,9922966,1.58095E+12,7.90888321,12326,6270,,0,GCZBTC
126,1.58095E+12,2020/2/6,9.60E-07,9.90E-07,5.80E-07,8.90E-07,9697565,1.58103E+12,7.6072912,12245,6118,,0,GCZBTC
127,1.58103E+12,2020/2/7,9.50E-07,9.90E-07,5.80E-07,7.70E-07,9311694,1.58112E+12,7.5503921,11687,5893,,0,GCZBTC
128,1.58112E+12,2020/2/8,7.90E-07,9.90E-07,5.80E-07,6.60E-07,9819363,1.58121E+12,7.34098124,12084,5989,,0,GCZBTC
129,1.58121E+12,2020/2/9,6.50E-07,9.90E-07,5.80E-07,8.00E-07,9860127,1.58129E+12,7.47328971,12433,6146,,0,GCZBTC
130,1.58129E+12,2020/2/10,7.80E-07,9.90E-07,5.80E-07,6.60E-07,9462224,1.58138E+12,7.11293782,11737,5788,,0,GCZBTC
131,1.58138E+12,2020/2/11,6.20E-07,9.90E-07,5.80E-07,6.90E-07,9307724,1.58147E+12,7.28508294,11642,5829,,0,GCZBTC
132,1.58147E+12,2020/2/12,6.90E-07,9.90E-07,5.80E-07,9.40E-07,9407506,1.58155E+12,7.88446068,11588,5825,,0,GCZBTC
133,1.58155E+12,2020/2/13,9.50E-07,9.90E-07,5.80E-07,6.90E-07,9027854,1.58164E+12,7.73363625,11025,5470,,0,GCZBTC
134,1.58164E+12,2020/2/14,6.70E-07,9.90E-07,5.80E-07,8.70E-07,8626411,1.58172E+12,6.92417132,10925,5416,,0,GCZBTC
135,1.58172E+12,2020/2/15,9.00E-07,9.90E-07,5.80E-07,7.80E-07,9176112,1.58181E+12,7.33849424,11319,5690,,0,GCZBTC
136,1.58181E+12,2020/2/16,7.90E-07,9.90E-07,5.80E-07,7.70E-07,9321774,1.5819E+12,7.69749167,11756,5797,,0,GCZBTC
137,1.5819E+12,2020/2/17,7.60E-07,9.90E-07,5.80E-07,7.10E-07,2790698,1.58198E+12,2.04902935,3539,1790,,0,GCZBTC
138,1.58198E+12,2020/2/18,6.80E-07,9.90E-07,5.80E-07,7.10E-07,8509936,1.58207E+12,6.37381406,10465,5279,,0,GCZBTC
139,1.58207E+12,2020/2/19,7.00E-07,9.90E-07,5.80E-07,9.10E-07,10402975,1.58216E+12,8.06641564,12835,6473,,0,GCZBTC
140,1.58216E+12,2020/2/20,8.80E-07,9.90E-07,5.80E-07,9.00E-07,9972407,1.58224E+12,7.54435357,12399,6134,,0,GCZBTC
141,1.58224E+12,2020/2/21,8.80E-07,9.90E-07,5.80E-07,8.60E-07,10048602,1.58233E+12,7.46347853,12296,6128,,0,GCZBTC
