,time,open,close,highest,lowest,volume,amount,market_name
138,1573948800,0.00041820,0.00042480,0.00043009,0.00041412,3946375837.84350000,1672516.8865780658250000,BTTUSDT
139,1574035200,0.00042482,0.00040180,0.00042549,0.00040000,5834798293.70140137,2415291.0359160521239520,BTTUSDT
140,1574121600,0.00040178,0.00039781,0.00040283,0.00039015,6023925626.14552091,2386281.1562828743398474,BTTUSDT
141,1574208000,0.00039775,0.00038120,0.00040253,0.00038101,5916662211.12150733,2325284.1896218915594147,BTTUSDT
142,1574294400,0.00038118,0.00034778,0.00038559,0.00033491,8834238646.08637955,3183327.7495680726676798,BTTUSDT
143,1574380800,0.00034780,0.00032280,0.00035008,0.00028611,12333099976.22164299,4021482.0908965821560992,BTTUSDT
144,1574467200,0.00032278,0.00032129,0.00032458,0.00030238,15179362572.04532027,4781547.5710268680726300,BTTUSDT
145,1574553600,0.00032131,0.00029066,0.00032131,0.00028930,7562788359.43744053,2349723.0140549082539892,BTTUSDT
146,1574640000,0.00029068,0.00029032,0.00030034,0.00026212,13310451442.24115220,3799279.0387099968605208,BTTUSDT
147,1574726400,0.00029030,0.00030329,0.00030797,0.00028792,13246474499.43425436,3945797.4296596097778800,BTTUSDT
148,1574812800,0.00030331,0.00031761,0.00038010,0.00028035,4397991370.22462350,1338935.8892427605215540,BTTUSDT
149,1574899200,0.00031759,0.00031828,0.00033045,0.00031328,4110164665.75022686,1319544.8418605556320744,BTTUSDT
150,1574985600,0.00031671,0.00032948,0.00041576,0.00031553,3976234917.47590000,1284056.9035638771970000,BTTUSDT
151,1575072000,0.00032946,0.00030868,0.00033089,0.00030533,3140531907.91500748,991630.7011557251318481,BTTUSDT
152,1575158400,0.00030866,0.00030868,0.00031350,0.00029755,3021270657.02539320,920140.7347844715807063,BTTUSDT
153,1575244800,0.00030877,0.00029975,0.00031407,0.00029581,2797443584.17190398,848195.7961192311595690,BTTUSDT
154,1575331200,0.00029973,0.00030865,0.00031428,0.00029952,2625281518.04960657,809042.9600536144358289,BTTUSDT
155,1575417600,0.00030862,0.00030002,0.00031318,0.00029616,2409001018.59622816,730762.2964104870642968,BTTUSDT
156,1575504000,0.00030000,0.00030269,0.00030570,0.00027786,2239886757.53654300,674042.4090412862634400,BTTUSDT
157,1575590400,0.00030267,0.00030731,0.00030852,0.00029726,2168508666.48658895,655737.9680743064738753,BTTUSDT
158,1575676800,0.00030733,0.00031365,0.00031848,0.00030705,2030079642.47877978,638151.5133364752768980,BTTUSDT
159,1575763200,0.00031363,0.00032058,0.00032551,0.00030570,1916007583.74084589,601373.4305802434951452,BTTUSDT
160,1575849600,0.00032060,0.00030879,0.00042374,0.00030507,1904675565.78839977,605939.1238295448074106,BTTUSDT
161,1575936000,0.00030881,0.00029070,0.00031326,0.00028379,1790875964.61944689,522523.6818549528643276,BTTUSDT
162,1576022400,0.00029068,0.00029113,0.00029635,0.00028581,1729949116.15123884,502814.8489801848831520,BTTUSDT
163,1576108800,0.00029115,0.00028233,0.00029315,0.00027601,1727622055.48745190,489247.5167681055953363,BTTUSDT
164,1576195200,0.00028235,0.00030218,0.00030511,0.00027936,3333975671.94037010,957048.8665077704315955,BTTUSDT
165,1576281600,0.00030216,0.00030821,0.00033877,0.00030096,2557358715.27078425,820911.2376140218535138,BTTUSDT
166,1576368000,0.00030818,0.00031267,0.00032716,0.00030173,2428513724.54977374,764336.5872659372945981,BTTUSDT
167,1576454400,0.00031265,0.00028595,0.00031434,0.00028361,3021335412.55454776,915117.2983762231171475,BTTUSDT
168,1576540800,0.00028597,0.00027115,0.00028911,0.00026191,3017588660.08252016,833679.8549452457710569,BTTUSDT
169,1576627200,0.00027113,0.00029155,0.00029199,0.00026430,3046864687.04581157,845344.7433339681457079,BTTUSDT
170,1576713600,0.00029183,0.00028258,0.00039663,0.00027742,2846695063.42330031,808819.7470908415661613,BTTUSDT
171,1576800000,0.00028256,0.00028751,0.00028768,0.00027396,1704212331.89015534,479118.5286865589338870,BTTUSDT
172,1576886400,0.00028767,0.00028159,0.00028805,0.00028017,1655912882.78379103,468069.5462374954045777,BTTUSDT
173,1576972800,0.00028157,0.00030163,0.00030489,0.00028086,1553465622.38609491,455860.6908643730214011,BTTUSDT
