,time,open,close,high,low,volume,turnover,market_name
203,1575504000,0.0008698,0.0008278,0.0008698,0.0007465,1270843.8263,1053.88397285145,MTV-KCS
204,1575417600,0.0008654,0.000883,0.0010244,0.0008654,3139760.06992963,2909.755808499051075,MTV-KCS
205,1575331200,0.0006539,0.0008627,0.0009287,0.0006457,2901341.56532109,2387.733986805278782,MTV-KCS
206,1575244800,0.0006113,0.0006571,0.0006998,0.0006081,853056.24368162,555.49197683424258,MTV-KCS
207,1575158400,0.0006077,0.0006111,0.0006416,0.0005754,466506.334,283.16162626717,MTV-KCS
208,1575072000,0.0005877,0.0006039,0.0006209,0.0005797,897873.0743,531.86199451906,MTV-KCS
209,1574985600,0.0006326,0.0005877,0.0006458,0.0005306,1456953.8485,851.89500583791,MTV-KCS
210,1574899200,0.0006267,0.0006343,0.000639,0.0005959,1151662.729,696.56596606723,MTV-KCS
211,1574812800,0.0006533,0.0006305,0.0006857,0.0006153,1051457.39832664,683.562436214514248,MTV-KCS
212,1574726400,0.0006408,0.0006608,0.0006693,0.00064,200519.0912,131.60175173576,MTV-KCS
213,1574640000,0.0006648,0.0006381,0.0006653,0.0006279,365896.8438,234.35449675519,MTV-KCS
214,1574553600,0.0006345,0.0006609,0.0006728,0.0006163,482381.1113,306.63812422375,MTV-KCS
215,1574467200,0.0006153,0.0006345,0.0006485,0.0006009,658569.0232,409.40057774761,MTV-KCS
216,1574380800,0.0006038,0.0006115,0.00065,0.0005885,1145309.5198,705.50518663686,MTV-KCS
217,1574294400,0.0006648,0.0006005,0.0006775,0.0006,503403.9259,316.93477578233,MTV-KCS
218,1574208000,0.0006489,0.0006653,0.0006852,0.0006,495971.0147,314.93945714115,MTV-KCS
219,1574121600,0.0007006,0.0006457,0.0008231,0.0006229,606588.6272,410.649046183395239,MTV-KCS
220,1574035200,0.0006979,0.0007014,0.0007125,0.0006711,189089.3168,130.76401019189,MTV-KCS
221,1573948800,0.0007192,0.0006979,0.0007448,0.0006001,700733.8318,475.15455012576,MTV-KCS
222,1573862400,0.0007043,0.0007162,0.0007533,0.000704,1437265.12091887,1028.758549358394771,MTV-KCS
223,1573776000,0.0006836,0.0007042,0.0009731,0.0006615,1498352.9922,1083.44230625758,MTV-KCS
224,1573689600,0.000653,0.0006836,0.000704,0.0006444,585842.1345,403.78877499028,MTV-KCS
225,1573603200,0.0006555,0.0006616,0.0006632,0.0006289,1091171.2681,715.72244411207,MTV-KCS
226,1573516800,0.0007124,0.0006555,0.0007124,0.0006138,405977.75934949,262.661658964209214,MTV-KCS
227,1573430400,0.0006863,0.000704,0.0007151,0.0006428,188498.1977,130.29005693712,MTV-KCS
228,1573344000,0.0006724,0.0006791,0.0007224,0.0006661,767809.8515,535.37781802876,MTV-KCS
229,1573257600,0.0006106,0.00065,0.0006688,0.0005799,615119.7127,380.59442369661,MTV-KCS
230,1573171200,0.0005718,0.0006,0.0006245,0.0005371,778936.7367,461.55608251985,MTV-KCS
231,1573084800,0.0005559,0.0005609,0.0005898,0.0005371,131555.9172,71.15355405507,MTV-KCS
232,1572998400,0.0005347,0.0005691,0.0005999,0.000525,2632713.706,1472.22450454553,MTV-KCS
233,1572912000,0.0005079,0.0005347,0.0005508,0.0004909,359097.11903638,182.850565659239032,MTV-KCS
234,1572825600,0.00054,0.0005104,0.00054,0.0004925,33340.1253,16.83574606374,MTV-KCS
235,1572739200,0.0005007,0.0004783,0.0005125,0.0004783,279135.1742,138.03953242757,MTV-KCS
236,1572652800,0.0005485,0.0005047,0.0005609,0.0005047,201224.8732,106.72254111647,MTV-KCS
237,1572566400,0.0005632,0.0005477,0.0005695,0.000497,1008936.683,516.65052138975,MTV-KCS
238,1572480000,0.0005783,0.0005517,0.0005913,0.0005322,591415.7913,344.91129669925,MTV-KCS
239,1572393600,0.0005615,0.0005992,0.0006224,0.0005406,1149952.9144,688.24002622554,MTV-KCS
240,1572307200,0.0005138,0.0005591,0.0006838,0.0005053,1161701.173326,644.0156348715088,MTV-KCS
241,1572220800,0.0005951,0.000523,0.0006064,0.0005011,570958.9728,314.89637605428,MTV-KCS
242,1572134400,0.0006783,0.000583,0.00069,0.000579,774394.6409,469.57403340309,MTV-KCS
243,1572048000,0.0007386,0.0006904,0.0007753,0.0005952,2927137.1896,2053.87121499143,MTV-KCS
244,1571961600,0.0009183,0.000756,0.0009762,0.0007401,2115210.2619,1690.47465027241,MTV-KCS
245,1571875200,0.001235,0.000975,0.0015219,0.0008693,3288303.40624437,3318.702092376962515,MTV-KCS
246,1571788800,0.0015056,0.0012305,0.001522,0.0011858,551285.59805563,714.572016133237485,MTV-KCS
247,1571702400,0.0015545,0.0015155,0.0016362,0.0014716,533087.8176,826.67782355926,MTV-KCS
248,1571616000,0.0014936,0.0015545,0.0016362,0.0014497,662639.7179067,1023.13788194570908,MTV-KCS
249,1571529600,0.0014387,0.0014936,0.00163,0.0013849,319159.7715933,493.36737161169092,MTV-KCS
250,1571443200,0.0012527,0.0014122,0.0014826,0.0012,516184.12753757,737.226524365026031,MTV-KCS
251,1571356800,0.0013592,0.0012527,0.0013592,0.0011388,1162802.6038,1469.03243678039,MTV-KCS
252,1571270400,0.0014279,0.0013801,0.0014826,0.0013266,254980.34560991,352.959147837975537,MTV-KCS
253,1571184000,0.0016691,0.0014005,0.001724,0.0013176,1015413.054,1487.06898755628,MTV-KCS
254,1571097600,0.0017057,0.0016582,0.0017202,0.0016362,275351.04702685,467.736076420576035,MTV-KCS
255,1571011200,0.001937,0.0017053,0.001937,0.0016409,1974581.1764,3455.92248102024,MTV-KCS
256,1570924800,0.001903,0.001937,0.0019483,0.0019,310485.8928,593.314665799,MTV-KCS
257,1570838400,0.0019326,0.001903,0.0020106,0.0018916,210596.4238,412.48073437528,MTV-KCS
258,1570752000,0.0020083,0.0019326,0.00212,0.0019326,529889.6357,1081.3435596568,MTV-KCS
259,1570665600,0.002039,0.0020093,0.0020446,0.0018678,416326.2808,805.03416241629,MTV-KCS
260,1570579200,0.00209,0.0020276,0.0021013,0.001971,672965.0381,1379.53443076009,MTV-KCS
261,1570492800,0.002056,0.0020839,0.002141,0.0019653,466304.3807328,955.30009685199288,MTV-KCS
262,1570406400,0.0020673,0.0020616,0.0023056,0.0019655,822466.1535,1729.90406995406,MTV-KCS
263,1570320000,0.0019436,0.0020642,0.0021233,0.001937,626593.1794,1302.63381687353,MTV-KCS
264,1570233600,0.0018973,0.0019436,0.001954,0.0018777,140939.8655,269.67308374284,MTV-KCS
265,1570147200,0.001801,0.0018886,0.001911,0.001746,319262.6915,589.67288085556,MTV-KCS
266,1570060800,0.0018996,0.001801,0.0018996,0.0017814,369092.5573,671.02003559213,MTV-KCS
267,1569974400,0.0019426,0.0018973,0.0019596,0.0018667,183240.5607,349.04375502643,MTV-KCS
268,1569888000,0.002039,0.0019426,0.0021487,0.0019143,840088.8319,1696.06582543397,MTV-KCS
269,1569801600,0.002022,0.002039,0.002111,0.0019485,494046.9712,1003.42541040114,MTV-KCS
270,1569715200,0.002107,0.002022,0.0021429,0.0019766,746883.635,1523.92061202675,MTV-KCS
271,1569628800,0.0020786,0.002107,0.0021976,0.0020313,831157.0404,1735.25604609739,MTV-KCS
272,1569542400,0.0021008,0.0020843,0.0022508,0.0020423,754288.9436,1614.81010476464,MTV-KCS
273,1569456000,0.0019953,0.0020862,0.0022508,0.0018996,433750.406,891.10632410747,MTV-KCS
274,1569369600,0.0022947,0.0019874,0.0023385,0.0019531,4437712.9954,9155.64561275935,MTV-KCS
275,1569283200,0.0020903,0.0022837,0.0023751,0.0019714,418753.29669965,904.341937828861345,MTV-KCS
276,1569196800,0.0020971,0.0020752,0.00216,0.0020481,200952.6414,421.79991387366,MTV-KCS
277,1569110400,0.0021487,0.0020903,0.002152,0.0020692,116768.4095,246.04193706247,MTV-KCS
278,1569024000,0.002152,0.0021536,0.0022062,0.0020643,372461.4595,797.92766509169,MTV-KCS
279,1568937600,0.0021072,0.002141,0.0021957,0.0020971,202734.71523041,435.796982828134506,MTV-KCS
280,1568851200,0.0019953,0.0021081,0.0023072,0.001932,240217.22418497,498.77521034408329,MTV-KCS
281,1568764800,0.00194,0.0019848,0.0021399,0.0018956,244798.519,483.34783721148,MTV-KCS
282,1568678400,0.0018475,0.0019346,0.0021605,0.0018248,284200.49064343,541.241440837676925,MTV-KCS
283,1568592000,0.0018623,0.0017897,0.0020448,0.0017211,267908.9132,492.57586986682,MTV-KCS
284,1568505600,0.0019186,0.001887,0.0020148,0.0018746,45878.3798,86.61687527149,MTV-KCS
285,1568419200,0.0021383,0.0019186,0.0021973,0.0019186,141923.7518,286.92150825604,MTV-KCS
286,1568332800,0.0021517,0.00214,0.0021517,0.0020005,126698.82438059,261.621853731173331,MTV-KCS
287,1568246400,0.0023593,0.0021858,0.002393,0.002112,298938.5635,676.53477441479,MTV-KCS
288,1568160000,0.0025384,0.0024017,0.00266,0.0023849,161683.4983,402.14812027219,MTV-KCS
289,1568073600,0.0027469,0.0025104,0.0027469,0.0024749,534216.8492,1351.95773157606,MTV-KCS
290,1567987200,0.0028673,0.0026961,0.003108,0.00263,230787.4868,639.97089084538,MTV-KCS
291,1567900800,0.0030679,0.0028673,0.0030679,0.0028,152283.6051,441.3025355665,MTV-KCS
292,1567814400,0.003,0.0030699,0.0031634,0.0029475,443864.0019,1341.4036240136,MTV-KCS
293,1567728000,0.0030387,0.0030054,0.0032292,0.003,236977.75146187,729.575875241038213,MTV-KCS
294,1567641600,0.0032584,0.00305,0.0035374,0.00305,181627.74458186,578.947087662901564,MTV-KCS
295,1567555200,0.0034353,0.003273,0.0034353,0.0032146,188924.8064,626.57126468116,MTV-KCS
296,1567468800,0.0035216,0.0034476,0.0035362,0.0033514,496995.4081,1744.60568632172,MTV-KCS
297,1567382400,0.0037847,0.0035494,0.0038286,0.003432,369880.2748,1324.96493034206,MTV-KCS
298,1567296000,0.0039455,0.0037701,0.0040978,0.0037549,134623.4595,530.02479108425,MTV-KCS
299,1567209600,0.0037116,0.0039602,0.0039602,0.0037116,65057.1811,249.09501789169,MTV-KCS
300,1567123200,0.0036469,0.0037153,0.0038668,0.0036239,164575.223,613.41214402983,MTV-KCS
301,1567036800,0.0034755,0.0036469,0.0038106,0.0034755,242288.9632,889.02039716086,MTV-KCS
