asset,day,close,volume
celer-network,2019-11-03,0.0043782042,5102110.86047526
celer-network,2019-11-04,0.004521488,6226213.48356865
celer-network,2019-11-05,0.0046788203,6008525.17608186
celer-network,2019-11-06,0.0045052413,5309240.65178714
celer-network,2019-11-07,0.0044236463,5584216.66582236
celer-network,2019-11-08,0.004111929,4252584.62686582
celer-network,2019-11-09,0.0041611055,4190894.45159989
celer-network,2019-11-10,0.0042050253,3813243.22035238
celer-network,2019-11-11,0.004173027,3681544.89785332
celer-network,2019-11-12,0.004167117,4396650.75831691
celer-network,2019-11-13,0.004165094,3762984.45508277
celer-network,2019-11-14,0.004087215,3576305.59217967
celer-network,2019-11-15,0.0042347834,4556369.43700504
celer-network,2019-11-16,0.0045829997,7057147.93856311
celer-network,2019-11-17,0.004481264,5317387.05958096
celer-network,2019-11-18,0.004248581,4448122.6118773
celer-network,2019-11-19,0.004151063,5078109.07767311
celer-network,2019-11-20,0.0040084096,4047763.95212718
celer-network,2019-11-21,0.0037282151,4731438.3417012
celer-network,2019-11-22,0.0036096587,5184828.79110198
celer-network,2019-11-23,0.0037828502,4001207.38329445
celer-network,2019-11-24,0.0037898864,5215546.35273272
celer-network,2019-11-25,0.0042803525,8628125.55706304
celer-network,2019-11-26,0.0043901396,6296897.87253469
celer-network,2019-11-27,0.0042679035,7755648.70268697
celer-network,2019-11-28,0.0047813957,7754508.01315228
celer-network,2019-11-29,0.0046489434,5736922.90474146
celer-network,2019-11-30,0.0050595873,8228909.43093488
celer-network,2019-12-01,0.0047182525,6441254.55165811
celer-network,2019-12-02,0.004850186,6403877.22618265
celer-network,2019-12-03,0.004759352,6025681.75006212
celer-network,2019-12-04,0.0045410977,7166940.99785061
celer-network,2019-12-05,0.0044550584,6141598.56984011
celer-network,2019-12-06,0.0048423144,6693952.13466261
celer-network,2019-12-07,0.0055623553,8568965.94734187
celer-network,2019-12-08,0.005497478,11236597.2078865
celer-network,2019-12-09,0.005185568,8302581.92983452
celer-network,2019-12-10,0.004388391,8526313.28035951
celer-network,2019-12-11,0.004525241,5471284.29929906
celer-network,2019-12-12,0.004257066,4821767.00077956
celer-network,2019-12-13,0.004196967,5302065.36382807
celer-network,2019-12-14,0.003864054,4899723.02808277
celer-network,2019-12-15,0.0040131565,4384397.3110776
celer-network,2019-12-16,0.0037463796,5041501.82791206
